datetime,actual_power_kW,pred_baseline_kW,pred_model_kW
2025-08-23 06:15:00+05:00,39.0,37.492899387708775,39.0
2025-08-23 06:30:00+05:00,82.0,80.76945942157879,82.0
2025-08-23 06:45:00+05:00,120.0,119.01386131197553,120.0
2025-08-23 07:00:00+05:00,145.0,144.17465202934181,145.0
2025-08-23 07:15:00+05:00,154.0,153.23253668759367,154.0
2025-08-23 07:30:00+05:00,160.0,159.27112645976158,160.00333333333333
2025-08-23 07:45:00+05:00,175.0,174.36760089018136,175.0
2025-08-23 08:00:00+05:00,192.0,191.47693857799044,192.0
2025-08-23 08:15:00+05:00,227.0,226.7020455823032,227.0
2025-08-23 08:30:00+05:00,263.0,262.93358421531065,262.99666666666667
2025-08-23 08:45:00+05:00,303.0,303.19084936309673,303.0
2025-08-23 09:00:00+05:00,350.0,350.49313591174536,350.0
2025-08-23 09:15:00+05:00,361.0,361.5638838273865,361.00333333333333
2025-08-23 09:30:00+05:00,359.0,359.5510205699972,359.0
2025-08-23 09:45:00+05:00,388.0,388.73753780214207,387.99666666666667
2025-08-23 10:00:00+05:00,394.0,394.77612757431,394.0
2025-08-23 10:15:00+05:00,443.0,444.0912773803479,443.02
2025-08-23 10:30:00+05:00,457.0,458.181320182073,457.00333333333333
2025-08-23 10:45:00+05:00,453.0,454.1555936672944,453.0
2025-08-23 11:00:00+05:00,405.0,405.8468754899512,405.00333333333333
2025-08-23 11:15:00+05:00,317.0,317.28089216482186,317.00666666666666
2025-08-23 11:30:00+05:00,338.0,338.41595636740954,338.0
2025-08-23 11:45:00+05:00,420.0,420.9433499203709,419.98
2025-08-23 12:00:00+05:00,546.0,547.7537351358969,546.0
2025-08-23 12:15:00+05:00,510.0,511.5221965028895,510.00333333333333
2025-08-23 12:30:00+05:00,483.0,484.348542528134,483.0
2025-08-23 12:45:00+05:00,368.0,368.60890522824906,368.05
2025-08-23 13:00:00+05:00,340.0,340.4288196247988,339.99666666666667
2025-08-23 13:15:00+05:00,382.0,382.6989480299742,382.0
2025-08-23 13:30:00+05:00,480.0,481.32924764205,479.89666666666665
2025-08-23 13:45:00+05:00,485.0,486.36140578552323,485.0
2025-08-23 14:00:00+05:00,490.0,491.3935639289965,490.0133333333333
2025-08-23 14:15:00+05:00,429.0,430.00123457862276,429.0
2025-08-23 14:30:00+05:00,357.0,357.5381573126079,356.99
2025-08-23 14:45:00+05:00,419.0,419.93691829167625,419.00666666666666
2025-08-23 15:00:00+05:00,473.0,474.28422624118747,473.0
2025-08-23 15:15:00+05:00,419.0,419.93691829167625,419.00666666666666
2025-08-23 15:30:00+05:00,410.0,410.8790336334244,410.0
2025-08-23 15:45:00+05:00,336.0,336.4030931100202,336.0233333333333
2025-08-23 16:00:00+05:00,224.0,223.68275069621927,224.0
2025-08-23 16:15:00+05:00,147.0,146.18751528673113,147.0
2025-08-23 16:30:00+05:00,104.0,102.91095525286111,104.0
2025-08-23 16:45:00+05:00,95.0,93.85307059460925,95.0
2025-08-23 17:00:00+05:00,85.0,83.78875430766273,85.0
2025-08-23 17:15:00+05:00,69.0,67.68584824854831,69.0
2025-08-23 17:30:00+05:00,58.0,56.61510033290715,58.0
2025-08-23 17:45:00+05:00,34.0,32.46074124423552,34.0
2025-08-24 06:15:00+05:00,42.0,40.51219427379273,42.0
2025-08-24 06:30:00+05:00,77.0,75.73730127810552,77.0
2025-08-24 06:45:00+05:00,101.0,99.89166036677716,101.0
2025-08-24 07:00:00+05:00,104.0,102.91095525286111,104.0
2025-08-24 07:15:00+05:00,110.0,108.94954502502901,110.0
2025-08-24 07:30:00+05:00,125.0,124.04601945544879,125.0
2025-08-24 07:45:00+05:00,133.0,132.097472485006,133.0
2025-08-24 08:00:00+05:00,154.0,153.23253668759367,154.0
2025-08-24 08:15:00+05:00,190.0,189.46407532060113,190.00333333333333
2025-08-24 08:30:00+05:00,229.0,228.71490883969253,229.0
2025-08-24 08:45:00+05:00,265.0,264.94644747269996,265.0
2025-08-24 09:00:00+05:00,328.0,328.351640080463,327.99666666666667
2025-08-24 09:15:00+05:00,438.0,439.05911923687466,437.95
2025-08-24 09:30:00+05:00,526.0,527.6251025620039,526.0066666666667
2025-08-24 09:45:00+05:00,624.0,626.2554021740798,624.0
2025-08-24 10:00:00+05:00,673.0,675.5705519801177,673.0
2025-08-24 10:15:00+05:00,577.0,578.9531156254312,576.9966666666667
2025-08-24 10:30:00+05:00,458.0,459.1877518107677,457.99666666666667
2025-08-24 10:45:00+05:00,383.0,383.70537965866885,383.02
2025-08-24 11:00:00+05:00,373.0,373.6410633717223,373.0
2025-08-24 11:15:00+05:00,360.0,360.55745219869186,360.0
2025-08-24 11:30:00+05:00,285.0,285.075080046593,285.0
2025-08-24 11:45:00+05:00,265.0,264.94644747269996,265.0
2025-08-24 12:00:00+05:00,260.0,259.91428932922673,260.00666666666666
2025-08-24 12:15:00+05:00,315.0,315.26802890743255,314.99333333333334
2025-08-24 12:30:00+05:00,408.0,408.8661703760351,407.99
2025-08-24 12:45:00+05:00,512.0,513.5350597602788,512.0
2025-08-24 13:00:00+05:00,436.0,437.04625597948535,436.0
2025-08-24 13:15:00+05:00,338.0,338.41595636740954,338.0
