temp,cloud_cover,dewpoint_temp,dni,irradiance,humidity,surface_pressure,wind_speed_10m,zenith,datetime,period
23,0,16.6,0,0,68.3,989.9,1.9,175,2025-01-01T00:15:00+05:00,PT15M
22,0,16.4,0,0,68.6,989.8,2.1,171,2025-01-01T00:30:00+05:00,PT15M
22,0,16.1,0,0,69,989.8,2.3,168,2025-01-01T00:45:00+05:00,PT15M
22,0,15.9,0,0,69.4,989.7,2.5,165,2025-01-01T01:00:00+05:00,PT15M
22,0,15.8,0,0,69.7,989.6,2.7,161,2025-01-01T01:15:00+05:00,PT15M
21,13.4,15.7,0,0,69.9,989.5,2.8,158,2025-01-01T01:30:00+05:00,PT15M
21,23.5,15.6,0,0,70.1,989.4,2.9,154,2025-01-01T01:45:00+05:00,PT15M
21,15.3,15.5,0,0,70.3,989.2,3,151,2025-01-01T02:00:00+05:00,PT15M
21,31.3,15.4,0,0,70.4,989.2,3.1,147,2025-01-01T02:15:00+05:00,PT15M
21,15.3,15.3,0,0,70.3,989.3,3.1,144,2025-01-01T02:30:00+05:00,PT15M
21,0,15.2,0,0,70.3,989.4,3.1,140,2025-01-01T02:45:00+05:00,PT15M
21,10.9,15.1,0,0,70.3,989.4,3.1,137,2025-01-01T03:00:00+05:00,PT15M
21,14.9,15,0,0,70.3,989.5,3.1,134,2025-01-01T03:15:00+05:00,PT15M
20,3.6,14.8,0,0,70.4,989.5,2.9,130,2025-01-01T03:30:00+05:00,PT15M
20,0,14.8,0,0,70.5,989.5,2.8,127,2025-01-01T03:45:00+05:00,PT15M
20,0,14.6,0,0,70.6,989.5,2.7,123,2025-01-01T04:00:00+05:00,PT15M
20,0,14.5,0,0,70.5,989.5,2.6,120,2025-01-01T04:15:00+05:00,PT15M
20,3.6,14.4,0,0,70.3,989.5,2.5,117,2025-01-01T04:30:00+05:00,PT15M
20,0,14.3,0,0,70,989.5,2.5,113,2025-01-01T04:45:00+05:00,PT15M
20,0,14.2,0,0,69.8,989.6,2.4,110,2025-01-01T05:00:00+05:00,PT15M
20,0,14.1,0,0,69.6,989.7,2.3,107,2025-01-01T05:15:00+05:00,PT15M
20,0,14,0,0,69.5,989.8,2.3,103,2025-01-01T05:30:00+05:00,PT15M
20,9.9,14,0,0,69.4,990,2.3,100,2025-01-01T05:45:00+05:00,PT15M
20,10.4,13.9,0,0,69.3,990.1,2.3,97,2025-01-01T06:00:00+05:00,PT15M
20,8.2,13.8,0,0,69.1,990.2,2.3,94,2025-01-01T06:15:00+05:00,PT15M
20,0,13.8,0,1,69,990.3,2.4,90,2025-01-01T06:30:00+05:00,PT15M
20,0,13.6,23,20,68.9,990.4,2.5,87,2025-01-01T06:45:00+05:00,PT15M
19,0,13.6,101,50,68.8,990.5,2.6,84,2025-01-01T07:00:00+05:00,PT15M
19,0,13.5,173,87,69,990.7,2.7,81,2025-01-01T07:15:00+05:00,PT15M
19,0,13.4,240,130,69.7,991,2.8,78,2025-01-01T07:30:00+05:00,PT15M
19,0,13.4,301,176,70.3,991.2,2.8,75,2025-01-01T07:45:00+05:00,PT15M
19,0,13.3,353,225,71,991.5,2.9,72,2025-01-01T08:00:00+05:00,PT15M
19,0,13.3,399,274,71.5,991.6,2.9,69,2025-01-01T08:15:00+05:00,PT15M
19,0,13.4,439,322,71.8,991.6,2.9,66,2025-01-01T08:30:00+05:00,PT15M
19,0,13.5,477,371,72.2,991.6,2.8,64,2025-01-01T08:45:00+05:00,PT15M
19,0,13.6,512,418,72.5,991.7,2.8,61,2025-01-01T09:00:00+05:00,PT15M
19,0,13.8,544,463,71.2,991.7,2.7,59,2025-01-01T09:15:00+05:00,PT15M
20,0,14.1,572,505,68.2,991.7,2.7,56,2025-01-01T09:30:00+05:00,PT15M
